Acoerulea	Aquilegia coerulea
Dalata	Dioscorea alata
Dcarota	Daucus carota
Dsalina	Dunaliella salina
Dsophioides	Descurainia sophioides
Dstrictus	Diptychocarpus strictus
Egrandis	Eucalyptus grandis
Esalsugineum	Eutrema salsugineum
Esyriacum	Euclidium syriacum
Evesicaria	Eruca vesicaria
Fvesca	Fragaria vesca
Gbarbadense	Gossypium barbadense
Gdarwinii	Gossypium darwinii
Ghirsutum	Gossypium hirsutum
Gmax	Glycine max
GmaxLee	Glycine max Lee
Gmustelinum	Gossypium mustelinum
Graimondii	Gossypium raimondii
Gsoja	Glycine soja
Gtomentosum	Gossypium tomentosum
Hannuus	Helianthus annuus
Hvulgare	Hordeum vulgare
Iamara	Iberis amara
Itinctoria	Isatis tinctoria
Kfedtschenkoi	Kalanchoe fedtschenkoi
Klaxiflora	Kalanchoe laxiflora
Lannua	Lunaria annua
Lsativa	Lactuca sativa
Lsativum	Lepidium sativum
Lusitatissimum	Linum usitatissimum
Macuminata	Musa acuminata
Mdomestica	Malus domestica
Mesculenta	Manihot esculenta
Mguttatus	Mimulus guttatus
MguttatusNONTOL	Mimulus guttatus NONTOL
MguttatusTOL	Mimulus guttatus TOL
Mmaritima	Malcolmia maritima
Mperfoliatum	Myagrum perfoliatum
Mpolymorpha	Marchantia polymorpha
MpusillaCCMP1545	Micromonas pusilla CCMP1545
Msinensis	Miscanthus sinensis
MspRCC299	Micromonas sp RCC299
Mtruncatula	Medicago truncatula
Oeuropaea	Olea europaea
Olucimarinus	Ostreococcus lucimarinus
Osativa	Oryza sativa
OsativaKitaake	Oryza sativa Kitaake
Othomaeum	Oropetium thomaeum
PdeltoidesWV94	Populus deltoides WV94
Phallii	Panicum hallii
PhalliiHAL	Panicum hallii HAL
Ppatens	Physcomitrella patens
Ppersica	Prunus persica
Ptrichocarpa	Populus trichocarpa
PtrichocarpaStettler14	Populus trichocarpa Stettler14
Pumbilicalis	Porphyra umbilicalis
Pvirgatum	Panicum virgatum
Pvulgaris	Phaseolus vulgaris
PvulgarisUI111	Phaseolus vulgaris UI111
Rcommunis	Ricinus communis
Rislandica	Rorippa islandica
Salba	Sinapis alba
Sbicolor	Sorghum bicolor
SbicolorRio	Sorghum bicolor Rio
Sfallax	Sphagnum fallax
Sitalica	Setaria italica
Slycopersicum	Solanum lycopersicum
Smoellendorffii	Selaginella moellendorffii
Spinnata	Stanleya pinnata
Spolyrhiza	Spirodela polyrhiza
Spurpurea	Salix purpurea
SpurpureaFishCreek	Salix purpurea Fish Creek
Stuberosum	Solanum tuberosum
Sviridis	Setaria viridis
Taestivum	Triticum aestivum
Tarvense	Thlaspi arvense
Tcacao	Theobroma cacao
Tintermedium	Thinopyrum intermedium
Tpratense	Trifolium pratense
Vcarteri	Volvox carteri
Vunguiculata	Vigna unguiculata
Vvinifera	Vitis vinifera
Zmarina	Zostera marina
Zmays	Zea mays
ZmaysPH207	Zea mays PH207
ZmaysPHB47	Zea mays PHB47
ZmaysPHJ40	Zea mays PHJ40
