Rhodophyta	Porphyra umbilicalis	2786	456	Porphyra umbilicalis	Pumbilicalis		v1.5	unrestricted	JGI	JGI	62.0
Grass	Thinopyrum intermedium	85679	503	Thinopyrum intermedium	Tintermedium		v2.1	restricted	JGI	JGI	97.7
Grass	Triticum aestivum	4565	296	Triticum aestivum	Taestivum		v2.2	unrestricted	MIPS	MIPS	92.8
Brachypodium	Brachypodium hybridum	1071398	463	Brachypodium hybridum	Bhybridum		v1.1	restricted	JGI	JGI	97.7
Brachypodium	Brachypodium stacei	1071399	316	Brachypodium stacei	Bstacei		v1.1	restricted	JGI	JGI	98.0
Brachypodium	Brachypodium sylvaticum	29664	490	Brachypodium sylvaticum	Bsylvaticum		v1.1	restricted	JGI	JGI	98.3
Bdistachyon	Brachypodium distachyon	15368	314	Brachypodium distachyon	Bdistachyon		v3.1	unrestricted	JGI	JGI	98.4
Bdistachyon	Brachypodium distachyon Bd21-3	15368	460	Brachypodium distachyon Bd21-3	BdistachyonBd21-3		v1.1	restricted	JGI	JGI	98.0
Bdistachyon	Brachypodium distachyon Bd21-3	15368	537	Brachypodium distachyon Bd21-3	BdistachyonBd21-3		v1.2	restricted	JGI	JGI	na
Bdistachyon	Brachypodium distachyon Bd30-1	15368	515	Brachypodium distachyon Bd30-1	BdistachyonBd30-1		v1.1	restricted	JGI	JGI	na
BrachyPanGenome	Brachypodium distachyon	15368	283	Brachypodium distachyon	Bdistachyon		v2.1	unrestricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon ABR2	15368	337	Brachypodium distachyon ABR2	BdistachyonABR2		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon ABR3	15368	343	Brachypodium distachyon ABR3	BdistachyonABR3		v1.1	unrestricted	JGI	JGI	98.7
BrachyPanGenome	Brachypodium distachyon ABR4	15368	364	Brachypodium distachyon ABR4	BdistachyonABR4		v1.1	unrestricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon ABR5	15368	379	Brachypodium distachyon ABR5	BdistachyonABR5		v1.1	unrestricted	JGI	JGI	97.4
BrachyPanGenome	Brachypodium distachyon ABR6	15368	336	Brachypodium distachyon ABR6	BdistachyonABR6		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon ABR7	15368	369	Brachypodium distachyon ABR7	BdistachyonABR7		v1.1	unrestricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon ABR8	15368	356	Brachypodium distachyon ABR8	BdistachyonABR8		v1.1	unrestricted	JGI	JGI	93.1
BrachyPanGenome	Brachypodium distachyon ABR9	15368	333	Brachypodium distachyon ABR9	BdistachyonABR9		v1.1	unrestricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Adi-10	15368	381	Brachypodium distachyon Adi-10	BdistachyonAdi-10		v1.1	unrestricted	JGI	JGI	94.4
BrachyPanGenome	Brachypodium distachyon Adi-12	15368	359	Brachypodium distachyon Adi-12	BdistachyonAdi-12		v1.1	unrestricted	JGI	JGI	96.7
BrachyPanGenome	Brachypodium distachyon Adi-2	15368	372	Brachypodium distachyon Adi-2	BdistachyonAdi-2		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon Arn1	15368	355	Brachypodium distachyon Arn1	BdistachyonArn1		v1.1	unrestricted	JGI	JGI	97.4
BrachyPanGenome	Brachypodium distachyon Bd1-1	15368	349	Brachypodium distachyon Bd1-1	BdistachyonBd1-1		v1.1	unrestricted	JGI	JGI	94.1
BrachyPanGenome	Brachypodium distachyon Bd18-1	15368	362	Brachypodium distachyon Bd18-1	BdistachyonBd18-1		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon Bd2-3	15368	353	Brachypodium distachyon Bd2-3	BdistachyonBd2-3		v1.1	unrestricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Bd21 AnntCtrl	15368	331	Brachypodium distachyon Bd21 AnntCtrl	BdistachyonBd21AnntCtrl		Bd21AnntCtrl	unrestricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Bd21 AsmbCtrl	15368	361	Brachypodium distachyon Bd21 AsmbCtrl	BdistachyonBd21AsmbCtrl		Bd21AsmbCtrl	unrestricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Bd21-3	15368	378	Brachypodium distachyon Bd21-3	BdistachyonBd21-3		v1.Bd21-3_r.1	unrestricted	JGI	JGI	97.4
BrachyPanGenome	Brachypodium distachyon Bd29-1	15368	346	Brachypodium distachyon Bd29-1	BdistachyonBd29-1		v1.1	unrestricted	JGI	JGI	94.7
BrachyPanGenome	Brachypodium distachyon Bd3-1	15368	328	Brachypodium distachyon Bd3-1	BdistachyonBd3-1		v1.1	unrestricted	JGI	JGI	86.8
BrachyPanGenome	Brachypodium distachyon Bd30-1	15368	344	Brachypodium distachyon Bd30-1	BdistachyonBd30-1		v1.1	unrestricted	JGI	JGI	97.0
BrachyPanGenome	Brachypodium distachyon BdTR10c	15368	374	Brachypodium distachyon BdTR10c	BdistachyonBdTR10c		v1.1	unrestricted	JGI	JGI	97.0
BrachyPanGenome	Brachypodium distachyon BdTR11a	15368	380	Brachypodium distachyon BdTR11a	BdistachyonBdTR11a		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon BdTR11g	15368	357	Brachypodium distachyon BdTR11g	BdistachyonBdTR11g		v1.1	unrestricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon BdTR11i	15368	363	Brachypodium distachyon BdTR11i	BdistachyonBdTR11i		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon BdTR12c	15368	352	Brachypodium distachyon BdTR12c	BdistachyonBdTR12c		v1.1	unrestricted	JGI	JGI	96.7
BrachyPanGenome	Brachypodium distachyon BdTR13a	15368	334	Brachypodium distachyon BdTR13a	BdistachyonBdTR13a		v1.1	unrestricted	JGI	JGI	98.7
BrachyPanGenome	Brachypodium distachyon BdTR13c	15368	365	Brachypodium distachyon BdTR13c	BdistachyonBdTR13c		v1.1	unrestricted	JGI	JGI	96.7
BrachyPanGenome	Brachypodium distachyon BdTR1i	15368	345	Brachypodium distachyon BdTR1i	BdistachyonBdTR1i		v1.1	unrestricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon BdTR2b	15368	376	Brachypodium distachyon BdTR2b	BdistachyonBdTR2b		v1.1	unrestricted	JGI	JGI	96.7
BrachyPanGenome	Brachypodium distachyon BdTR2g	15368	367	Brachypodium distachyon BdTR2g	BdistachyonBdTR2g		v1.1	unrestricted	JGI	JGI	95.7
BrachyPanGenome	Brachypodium distachyon BdTR3c	15368	354	Brachypodium distachyon BdTR3c	BdistachyonBdTR3c		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon BdTR5i	15368	370	Brachypodium distachyon BdTR5i	BdistachyonBdTR5i		v1.1	unrestricted	JGI	JGI	96.4
BrachyPanGenome	Brachypodium distachyon BdTR7a	15368	329	Brachypodium distachyon BdTR7a	BdistachyonBdTR7a		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon BdTR8i	15368	348	Brachypodium distachyon BdTR8i	BdistachyonBdTR8i		v1.1	unrestricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon BdTR9k	15368	358	Brachypodium distachyon BdTR9k	BdistachyonBdTR9k		v1.1	unrestricted	JGI	JGI	96.0
BrachyPanGenome	Brachypodium distachyon Bis-1	15368	338	Brachypodium distachyon Bis-1	BdistachyonBis-1		v1.1	unrestricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Foz1	15368	366	Brachypodium distachyon Foz1	BdistachyonFoz1		v1.1	unrestricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon Gaz-8	15368	339	Brachypodium distachyon Gaz-8	BdistachyonGaz-8		v1.1	unrestricted	JGI	JGI	88.8
BrachyPanGenome	Brachypodium distachyon Jer1	15368	375	Brachypodium distachyon Jer1	BdistachyonJer1		v1.1	unrestricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Kah-1	15368	351	Brachypodium distachyon Kah-1	BdistachyonKah-1		v1.1	unrestricted	JGI	JGI	89.4
BrachyPanGenome	Brachypodium distachyon Kah-5	15368	342	Brachypodium distachyon Kah-5	BdistachyonKah-5		v1.1	unrestricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon Koz-1	15368	330	Brachypodium distachyon Koz-1	BdistachyonKoz-1		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon Koz-3	15368	368	Brachypodium distachyon Koz-3	BdistachyonKoz-3		v1.1	unrestricted	JGI	JGI	94.7
BrachyPanGenome	Brachypodium distachyon Luc1	15368	347	Brachypodium distachyon Luc1	BdistachyonLuc1		v1.1	unrestricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon Mig3	15368	377	Brachypodium distachyon Mig3	BdistachyonMig3		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon Mon3	15368	350	Brachypodium distachyon Mon3	BdistachyonMon3		v1.1	unrestricted	JGI	JGI	98.0
BrachyPanGenome	Brachypodium distachyon Mur1	15368	373	Brachypodium distachyon Mur1	BdistachyonMur1		v1.1	unrestricted	JGI	JGI	95.7
BrachyPanGenome	Brachypodium distachyon Pangenome	15368	335	Brachypodium distachyon Pangenome	BdistachyonPangenome		v1.1	unrestricted	JGI	JGI	98.7
BrachyPanGenome	Brachypodium distachyon Per1	15368	326	Brachypodium distachyon Per1	BdistachyonPer1		v1.1	unrestricted	JGI	JGI	98.3
BrachyPanGenome	Brachypodium distachyon Ron2	15368	360	Brachypodium distachyon Ron2	BdistachyonRon2		v1.1	unrestricted	JGI	JGI	97.4
BrachyPanGenome	Brachypodium distachyon S8iic	15368	340	Brachypodium distachyon S8iic	BdistachyonS8iic		v1.1	unrestricted	JGI	JGI	97.7
BrachyPanGenome	Brachypodium distachyon Sig2	15368	371	Brachypodium distachyon Sig2	BdistachyonSig2		v1.1	unrestricted	JGI	JGI	98.7
BrachyPanGenome	Brachypodium distachyon Tek-2	15368	341	Brachypodium distachyon Tek-2	BdistachyonTek-2		v1.1	unrestricted	JGI	JGI	96.7
BrachyPanGenome	Brachypodium distachyon Tek-4	15368	332	Brachypodium distachyon Tek-4	BdistachyonTek-4		v1.1	unrestricted	JGI	JGI	82.2
BrachyPanGenome	Brachypodium distachyon Uni2	15368	327	Brachypodium distachyon Uni2	BdistachyonUni2		v1.1	unrestricted	JGI	JGI	97.7
Panicoideae	Miscanthus sinensis	62337	497	Miscanthus sinensis	Msinensis		v7.1	restricted	JGI	JGI	97.7
Panicoideae	Panicum hallii	206008	495	Panicum hallii	Phallii		v3.1	unrestricted	JGI	JGI	97.4
Panicoideae	Panicum hallii HAL	206008	496	Panicum hallii HAL	PhalliiHAL		v2.1	unrestricted	JGI	JGI	98.0
Panicoideae	Panicum virgatum	38727	450	Panicum virgatum	Pvirgatum		v4.1	restricted	JGI	JGI	98.0
Panicoideae	Panicum virgatum	38727	516	Panicum virgatum	Pvirgatum		v5.1	restricted	JGI	JGI	na
Panicoideae	Setaria italica	4555	312	Setaria italica	Sitalica		v2.2	unrestricted	JGI	JGI	98.7
Panicoideae	Setaria viridis	4556	500	Setaria viridis	Sviridis		v2.1	restricted	JGI	JGI	98.0
Panicoideae	Sorghum bicolor	4558	454	Sorghum bicolor	Sbicolor		v3.1.1	unrestricted	JGI	JGI	98.4
Panicoideae	Sorghum bicolor Rio	4558	468	Sorghum bicolor Rio	SbicolorRio		v2.1	restricted	JGI	JGI	97.0
Panicoideae	Zea mays	4577	493	Zea mays	Zmays		RefGen_V4	unrestricted	CSHL	CSHL	97.7
Panicoideae	Zea mays PH207	4577	443	Zea mays PH207	ZmaysPH207		v1.1	unrestricted	UMN	UMN	95.1
Panicoideae	Zea mays PHB47	4577	513	Zea mays PHB47	ZmaysPHB47		v1.1	restricted	JGI	JGI	na
Panicoideae	Zea mays PHJ40	4577	512	Zea mays PHJ40	ZmaysPHJ40		v1.1	restricted	JGI	JGI	na
Rosid	Arachis hypogaea	tax	530	Arachis hypogaea	Ahypogaea		v1.0	unrestricted	JGI	JGI	na
